Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,RockUnits_CSP,RockUnits_LAO
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Tonalite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Granite,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gravel,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Tuff and lapilli tuff
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Tuff and lapilli tuff
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Null,Dolerite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Granodiorite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Andesite
Tonalite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Granite,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Mudstone
Null,Greenschist facies,Greenschist facies,Greenschist facies,Null,Andesite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Conglomerate
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Chert
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Granodiorite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Tonalite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Tonalite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Mudstone
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Phyllite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Conglomerate
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Granodiorite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Clastic sediment,Mudstone
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Clastic sediment,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Clastic sediment,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Basalt
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Schist
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Schist
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Chert
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Conglomerate
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clay,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Sandstone,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Granodiorite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Mudstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Mudstone
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Mudstone
Granodiorite,Greenschist facies,Subgreenschist facies,Upper Greenschist,Clastic sediment,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Basalt
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Sandstone
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Schist
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Siliciclastic sedimentary rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Tuff and lapilli tuff
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clay,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clay,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clay,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Andesite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siliciclastic sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Syenite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granodiorite
Granodiorite,Greenschist facies,Subgreenschist facies,Greenschist facies,Anthropogenic material,Granodiorite
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Basalt
Null,Greenschist facies,Subgreenschist facies,Upper Greenschist,Null,Basalt
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Phyllite
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Schist
Granite,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dolerite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
